fips,approval_prob,beta_alpha,beta_beta
18125,0.2,8.0,32.0
18127,0.2,8.0,32.0
18129,0.4062,16.25,23.75
18131,0.2,8.0,32.0
18133,0.2516,10.06,29.94
18135,0.2872,11.49,28.51
18137,0.2453,9.81,30.19
18139,0.2872,11.49,28.51
18141,0.233,9.32,30.68
18143,0.3821,15.28,24.72
18145,0.2,8.0,32.0
18147,0.2,8.0,32.0
18149,0.3257,13.03,26.97
18151,0.5518,22.07,17.93
18153,0.2837,11.35,28.65
18155,0.2,8.0,32.0
18157,0.3549,14.2,25.8
18159,0.2929,11.72,28.28
18161,0.3312,13.25,26.75
18163,0.445,17.8,22.2
18165,0.2837,11.35,28.65
18167,0.6936,27.74,12.26
18169,0.2,8.0,32.0
18171,0.2513,10.05,29.95
18173,0.243,9.72,30.28
18175,0.2,8.0,32.0
18177,0.3373,13.49,26.51
18179,0.2286,9.14,30.86
18181,0.2,8.0,32.0
18183,0.2012,8.05,31.95
19001,0.3785,15.14,24.86
19003,0.376,15.04,24.96
19005,0.3785,15.14,24.86
19007,0.4066,16.26,23.74
19009,0.3807,15.23,24.77
19011,0.3764,15.06,24.94
19013,0.4927,19.71,20.29
19015,0.4068,16.27,23.73
19017,0.3944,15.78,24.22
19019,0.399,15.96,24.04
19021,0.4066,16.26,23.74
19023,0.3793,15.17,24.83
19025,0.3785,15.14,24.86
19027,0.3885,15.54,24.46
19029,0.3807,15.23,24.77
19031,0.3973,15.89,24.11
19033,0.3991,15.96,24.04
19035,0.3785,15.14,24.86
19037,0.4007,16.03,23.97
19039,0.3785,15.14,24.86
19041,0.4059,16.24,23.76
19043,0.3785,15.14,24.86
19045,0.3824,15.3,24.7
19047,0.3785,15.14,24.86
19049,0.3856,15.42,24.58
19051,0.3758,15.03,24.97
19053,0.3844,15.38,24.62
19055,0.4007,16.03,23.97
19057,0.406,16.24,23.76
19059,0.4483,17.93,22.07
19061,0.5014,20.06,19.94
19063,0.3793,15.17,24.83
19065,0.3774,15.1,24.9
19067,0.3771,15.08,24.92
19069,0.3807,15.23,24.77
19071,0.4005,16.02,23.98
19073,0.3785,15.14,24.86
19075,0.4045,16.18,23.82
19077,0.4007,16.03,23.97
19079,0.3793,15.17,24.83
19081,0.3892,15.57,24.43
19083,0.3807,15.23,24.77
19085,0.4007,16.03,23.97
19087,0.3785,15.14,24.86
19089,0.3774,15.1,24.9
